filepath,churn,num_commits,sloc,bugs,enhancements,blocker_sev_bugs,major_sev_bugs,minor_sev_bugs,critical_sev_bugs,normal_sev_bugs,trivial_sev_bugs,regressions,vulnerabilities
server/mpm/winnt/mpm_winnt.c,0,0,1184,7,2,0,1,0,0,4,0,0,0
modules/ssl/ssl_engine_init.c,0,0,1183,14,7,0,0,1,0,6,0,0,0
modules/arch/win32/mod_isapi.c,0,0,1182,8,0,0,4,1,1,2,0,0,1
modules/proxy/mod_proxy_balancer.c,0,0,1158,13,2,0,3,0,0,8,0,0,2
modules/filters/mod_proxy_html.c,0,0,1128,0,0,0,0,0,0,0,0,0,0
modules/http/http_filters.c,0,0,1105,23,1,2,2,2,0,14,0,2,1
modules/cache/mod_cache_disk.c,0,0,1091,2,0,0,0,0,0,2,0,0,0
server/mpm/prefork/prefork.c,0,0,1053,12,1,0,0,0,4,7,0,0,1
modules/filters/mod_deflate.c,0,0,1040,12,0,0,2,0,0,9,1,0,0
modules/http/http_protocol.c,0,0,998,2,0,0,0,0,0,2,0,0,0
server/mpm/netware/mpm_netware.c,0,0,987,2,1,0,0,0,0,0,1,0,0
modules/lua/mod_lua.c,0,0,983,0,0,0,0,0,0,0,0,0,0
modules/arch/netware/mod_nw_ssl.c,0,0,942,3,1,0,0,0,0,2,0,0,0
modules/dav/fs/lock.c,0,0,940,8,0,0,0,0,0,1,7,0,0
modules/generators/mod_cgi.c,0,0,937,3,0,0,0,0,2,1,0,0,0
server/mpm/winnt/child.c,0,0,874,4,0,0,2,0,0,2,0,0,0
modules/filters/sed0.c,0,0,833,0,0,0,0,0,0,0,0,0,0
modules/dav/main/mod_dav.h,0,0,833,1,0,0,0,0,0,1,0,0,0
modules/ssl/ssl_engine_vars.c,0,0,827,5,2,0,1,0,0,2,0,0,0
modules/aaa/mod_auth_form.c,0,0,822,2,1,0,0,0,0,1,0,0,0
modules/http/mod_mime.c,0,0,804,13,1,0,0,1,0,3,8,0,0
modules/aaa/mod_authz_core.c,0,0,791,9,0,0,0,0,0,2,7,0,0
modules/filters/sed1.c,0,0,791,1,0,0,0,0,0,1,0,0,0
modules/generators/mod_info.c,0,0,785,2,0,0,0,1,0,1,0,0,1
modules/dav/lock/locks.c,0,0,781,7,0,0,0,0,0,0,7,0,0
modules/filters/mod_charset_lite.c,0,0,772,4,1,0,0,0,0,3,0,0,0
modules/generators/mod_status.c,0,0,765,4,1,0,0,0,0,1,2,0,2
modules/cache/cache_util.c,0,0,755,8,1,1,1,0,0,5,0,0,1
modules/database/mod_dbd.c,0,0,737,2,1,0,0,0,0,0,0,1,0
modules/cluster/mod_heartmonitor.c,0,0,735,1,0,0,0,0,0,1,0,0,0
modules/proxy/mod_proxy_fcgi.c,0,0,735,2,0,0,0,1,0,1,0,0,0
modules/cache/mod_socache_shmcb.c,0,0,718,1,0,0,0,0,1,0,0,0,0
modules/filters/mod_ext_filter.c,0,0,710,3,0,1,0,0,0,2,0,0,0
modules/ldap/util_ldap_cache_mgr.c,0,0,687,4,2,0,0,0,0,2,0,0,0
server/mpm_unix.c,0,0,679,5,1,0,0,0,0,4,0,0,0
modules/metadata/mod_headers.c,0,0,675,6,1,0,2,1,1,1,0,0,0
server/vhost.c,0,0,667,3,0,0,0,1,0,2,0,0,0
include/httpd.h,0,0,648,15,1,0,1,1,0,11,1,0,1
modules/lua/lua_request.c,0,0,630,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_private.h,0,0,629,10,4,0,2,1,0,3,0,0,0
modules/mappers/mod_imagemap.c,0,0,623,1,0,0,0,0,0,0,1,0,2
server/util_script.c,0,0,622,6,1,0,0,0,0,4,0,1,0
modules/dav/main/props.c,0,0,614,0,0,0,0,0,0,0,0,0,0
modules/proxy/ajp_header.c,0,0,612,3,0,0,1,0,0,2,0,0,0
server/mpm/winnt/service.c,0,0,604,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_filter.c,0,0,604,5,1,0,0,0,0,4,0,0,0
server/core_filters.c,0,0,603,1,0,0,0,0,0,1,0,0,0
server/main.c,0,0,594,7,1,0,0,2,0,4,0,0,1
acinclude.m4,0,0,577,2,0,0,0,0,0,2,0,0,0
support/rotatelogs.c,0,0,545,6,3,0,0,1,0,2,0,0,0
modules/slotmem/mod_slotmem_shm.c,0,0,542,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_ajp.c,0,0,538,7,0,0,1,0,1,5,0,0,3
modules/ssl/ssl_util_stapling.c,0,0,528,1,0,0,0,0,0,1,0,0,0
modules/examples/mod_example_hooks.c,0,0,528,0,0,0,0,0,0,0,0,0,0
os/win32/ap_regkey.c,0,0,521,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_xml2enc.c,0,0,515,0,0,0,0,0,0,0,0,0,0
server/util_filter.c,0,0,513,1,0,0,0,0,0,1,0,0,0
server/listen.c,0,0,508,1,0,0,0,1,0,0,0,0,0
modules/core/mod_watchdog.c,0,0,507,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy.h,0,0,505,13,4,0,1,1,2,4,0,1,0
modules/ssl/ssl_engine_pphrase.c,0,0,495,1,1,0,0,0,0,0,0,0,0
support/htpasswd.c,0,0,491,2,0,0,0,0,0,2,0,0,0
modules/filters/mod_reqtimeout.c,0,0,486,1,0,0,0,0,0,1,0,0,1
modules/filters/regexp.c,0,0,485,0,0,0,0,0,0,0,0,0,0
support/htdbm.c,0,0,484,2,0,0,0,0,0,2,0,0,0
modules/dav/fs/dbm.c,0,0,469,0,0,0,0,0,0,0,0,0,0
modules/http/byterange_filter.c,0,0,463,4,0,0,0,0,0,4,0,0,1
modules/arch/unix/mod_privileges.c,0,0,453,0,0,0,0,0,0,0,0,0,0
modules/session/mod_session_crypto.c,0,0,452,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_scgi.c,0,0,452,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_socache_dbm.c,0,0,445,3,0,0,0,0,0,3,0,0,0
server/scoreboard.c,0,0,443,6,0,0,0,2,0,4,0,0,2
modules/session/mod_session_dbd.c,0,0,440,0,0,0,0,0,0,0,0,0,0
modules/dav/main/util_lock.c,0,0,437,0,0,0,0,0,0,0,0,0,0
server/mpm_common.c,0,0,435,3,1,0,1,0,0,1,0,0,1
modules/metadata/mod_setenvif.c,0,0,434,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_substitute.c,0,0,432,2,0,1,0,0,0,1,0,0,0
server/util_mutex.c,0,0,431,1,0,0,0,0,0,1,0,0,0
modules/http/http_request.c,0,0,429,4,0,0,1,1,0,2,0,0,0
test/time-sem.c,0,0,425,0,0,0,0,0,0,0,0,0,0
modules/session/mod_session.c,0,0,424,1,0,0,1,0,0,0,0,0,1
modules/mappers/mod_alias.c,0,0,416,5,1,0,0,2,0,2,0,0,0
support/suexec.c,0,0,412,4,2,0,0,0,0,2,0,0,0
modules/arch/win32/mod_win32.c,0,0,412,2,0,0,0,0,0,2,0,0,0
server/mpm/mpmt_os2/mpmt_os2.c,0,0,410,0,0,0,0,0,0,0,0,0,1
modules/ssl/mod_ssl.c,0,0,407,6,3,0,1,0,0,2,0,0,0
include/http_config.h,0,0,401,5,0,0,0,2,0,2,1,0,0
modules/filters/mod_sed.c,0,0,391,1,0,0,0,1,0,0,0,0,0
build/default.pl,0,0,387,0,0,0,0,0,0,0,0,0,0
os/unix/unixd.c,0,0,371,2,1,0,0,0,0,1,0,0,0
modules/ssl/ssl_util.c,0,0,367,4,0,0,0,0,0,4,0,0,0
modules/ldap/util_ldap_cache.c,0,0,365,2,1,0,0,0,0,1,0,0,0
modules/aaa/mod_authn_socache.c,0,0,364,1,0,0,1,0,0,0,0,0,0
modules/proxy/mod_proxy_connect.c,0,0,357,9,3,0,2,0,1,3,0,0,0
modules/cache/cache_storage.c,0,0,351,11,1,0,2,0,0,8,0,0,1
modules/proxy/ajp_msg.c,0,0,343,1,0,0,0,0,0,1,0,0,0
modules/mappers/mod_vhost_alias.c,0,0,342,3,1,0,0,0,0,2,0,0,0
server/mpm/mpmt_os2/mpmt_os2_child.c,0,0,342,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_remoteip.c,0,0,342,2,0,0,1,0,0,1,0,0,0
modules/proxy/balancers/mod_lbmethod_heartbeat.c,0,0,341,0,0,0,0,0,0,0,0,0,0
server/mpm/event/fdqueue.c,0,0,337,0,0,0,0,0,0,0,0,0,0
modules/arch/unix/mod_unixd.c,0,0,337,1,0,0,0,0,0,1,0,0,0
modules/ssl/ssl_util_ssl.c,0,0,328,4,3,0,1,0,0,0,0,0,0
include/apache_noprobes.h,0,0,325,0,0,0,0,0,0,0,0,0,0
include/http_core.h,0,0,307,8,1,0,0,1,0,6,0,0,1
modules/metadata/mod_usertrack.c,0,0,304,1,0,0,0,0,0,1,0,0,0
modules/metadata/mod_expires.c,0,0,302,1,0,0,0,0,0,1,0,0,0
support/win32/wintty.c,0,0,298,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_speling.c,0,0,296,1,0,0,1,0,0,0,0,0,0
modules/aaa/mod_access_compat.c,0,0,294,0,0,0,0,0,0,0,0,0,0
server/util_expr_scan.l,0,0,293,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authz_dbd.c,0,0,292,0,0,0,0,0,0,0,0,0,0
include/http_log.h,0,0,273,2,1,0,0,1,0,0,0,0,0
modules/mappers/mod_dir.c,0,0,266,2,2,0,0,0,0,0,0,0,0
server/mpm/worker/fdqueue.c,0,0,264,11,0,3,0,0,0,1,7,0,0
modules/filters/mod_request.c,0,0,262,0,0,0,0,0,0,0,0,0,0
support/httxt2dbm.c,0,0,258,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authn_dbd.c,0,0,257,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authn_core.c,0,0,254,9,0,0,0,0,0,2,7,0,0
modules/cache/mod_file_cache.c,0,0,251,0,0,0,0,0,0,0,0,0,0
modules/lua/lua_config.c,0,0,242,0,0,0,0,0,0,0,0,0,0
modules/slotmem/mod_slotmem_plain.c,0,0,240,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_socache_memcache.c,0,0,238,0,0,0,0,0,0,0,0,0,0
build/installwinconf.awk,0,0,238,1,0,0,0,0,0,1,0,0,0
modules/filters/mod_ratelimit.c,0,0,234,0,0,0,0,0,0,0,0,0,0
modules/lua/lua_vmprep.c,0,0,232,0,0,0,0,0,0,0,0,0,0
modules/loggers/mod_log_debug.c,0,0,232,0,0,0,0,0,0,0,0,0,0
modules/core/mod_so.c,0,0,231,0,0,0,0,0,0,0,0,0,0
test/make_sni.sh,0,0,231,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_userdir.c,0,0,224,4,1,0,0,0,0,3,0,0,0
support/htdigest.c,0,0,223,0,0,0,0,0,0,0,0,0,0
modules/test/mod_dialup.c,0,0,221,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authz_dbm.c,0,0,220,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_util_ocsp.c,0,0,217,2,0,0,0,0,0,2,0,0,0
modules/http/http_core.c,0,0,216,1,1,0,0,0,0,0,0,0,0
modules/aaa/mod_auth_basic.c,0,0,214,1,0,0,0,0,0,1,0,0,0
modules/proxy/mod_proxy_fdpass.c,0,0,213,0,0,0,0,0,0,0,0,0,0
apache_probes.d,0,0,211,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_ident.c,0,0,210,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_engine_ocsp.c,0,0,208,1,0,0,0,0,0,1,0,0,0
modules/aaa/mod_authz_groupfile.c,0,0,208,3,0,0,1,0,0,2,0,0,0
modules/loggers/mod_log_forensic.c,0,0,203,0,0,0,0,0,0,0,0,0,0
support/logresolve.c,0,0,200,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authz_host.c,0,0,199,2,1,0,0,0,0,1,0,0,0
modules/filters/mod_buffer.c,0,0,199,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_version.c,0,0,193,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_cern_meta.c,0,0,192,0,0,0,0,0,0,0,0,0,0
server/util_time.c,0,0,189,0,0,0,0,0,0,0,0,0,0
modules/session/mod_session_cookie.c,0,0,185,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_unique_id.c,0,0,179,3,1,0,0,0,0,2,0,0,0
modules/cache/cache_util.h,0,0,172,1,1,0,0,0,0,0,0,0,0
modules/examples/mod_example_ipc.c,0,0,172,0,0,0,0,0,0,0,0,0,0
modules/cluster/mod_heartbeat.c,0,0,169,0,0,0,0,0,0,0,0,0,0
build/binbuild.sh,0,0,167,0,0,0,0,0,0,0,0,0,0
buildconf,0,0,167,0,0,0,0,0,0,0,0,0,0
server/util_cookies.c,0,0,167,0,0,0,0,0,0,0,0,0,0
modules/debugging/mod_dumpio.c,0,0,164,0,0,0,0,0,0,0,0,0,0
modules/proxy/mod_proxy_express.c,0,0,162,0,0,0,0,0,0,0,0,0,0
server/util_expr_parse.y,0,0,161,0,0,0,0,0,0,0,0,0,0
modules/dav/main/std_liveprop.c,0,0,160,0,0,0,0,0,0,0,0,0,0
server/util_debug.c,0,0,160,0,0,0,0,0,0,0,0,0,0
server/util_regex.c,0,0,157,0,0,0,0,0,0,0,0,0,0
modules/echo/mod_echo.c,0,0,157,1,0,0,0,0,0,1,0,0,0
modules/aaa/mod_authn_dbm.c,0,0,156,1,0,0,0,0,0,1,0,0,0
modules/aaa/mod_authn_file.c,0,0,150,1,0,0,0,0,0,1,0,0,0
include/util_ldap.h,0,0,150,7,3,0,1,1,0,2,0,0,0
modules/filters/mod_data.c,0,0,149,0,0,0,0,0,0,0,0,0,0
modules/filters/mod_reflector.c,0,0,149,0,0,0,0,0,0,0,0,0,0
modules/arch/win32/mod_isapi.h,0,0,145,1,0,0,0,0,0,1,0,0,0
modules/ssl/ssl_engine_log.c,0,0,144,2,1,0,0,0,0,1,0,0,0
modules/aaa/mod_authz_owner.c,0,0,144,0,0,0,0,0,0,0,0,0,0
modules/mappers/mod_actions.c,0,0,143,2,0,0,0,0,0,2,0,0,0
support/fcgistarter.c,0,0,142,0,0,0,0,0,0,0,0,0,0
test/cls.c,0,0,140,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_scache.c,0,0,140,0,0,0,0,0,0,0,0,0,0
server/util_pcre.c,0,0,139,2,1,0,0,0,0,0,1,0,0
modules/proxy/ajp.h,0,0,138,2,0,0,0,1,0,1,0,0,0
support/config.m4,0,0,136,1,1,0,0,0,0,0,0,0,0
modules/aaa/mod_authn_anon.c,0,0,136,0,0,0,0,0,0,0,0,0,0
modules/arch/netware/mod_netware.c,0,0,136,1,1,0,0,0,0,0,0,0,0
modules/http/http_etag.c,0,0,135,1,0,0,0,0,0,1,0,0,0
modules/cache/mod_socache_dc.c,0,0,135,1,0,0,0,0,0,1,0,0,0
include/util_filter.h,0,0,132,2,0,0,0,1,0,1,0,0,0
modules/lua/config.m4,0,0,131,0,0,0,0,0,0,0,0,0,0
modules/debugging/mod_bucketeer.c,0,0,129,0,0,0,0,0,0,0,0,0,0
build/mkconfNW.awk,0,0,128,0,0,0,0,0,0,0,0,0,0
os/bs2000/ebcdic.c,0,0,127,0,0,0,0,0,0,0,0,0,0
build/buildinfo.sh,0,0,126,0,0,0,0,0,0,0,0,0,0
modules/filters/libsed.h,0,0,126,0,0,0,0,0,0,0,0,0,0
modules/filters/config.m4,0,0,125,0,0,0,0,0,0,0,0,0,0
test/test_limits.c,0,0,125,0,0,0,0,0,0,0,0,0,0
include/http_protocol.h,0,0,120,2,0,0,0,0,0,2,0,0,0
include/scoreboard.h,0,0,119,0,0,0,0,0,0,0,0,0,1
server/mpm/winnt/nt_eventlog.c,0,0,117,0,0,0,0,0,0,0,0,0,0
build/make_exports.awk,0,0,117,0,0,0,0,0,0,0,0,0,0
modules/cache/config.m4,0,0,117,0,0,0,0,0,0,0,0,0,0
modules/metadata/mod_env.c,0,0,114,0,0,0,0,0,0,0,0,0,0
modules/ldap/util_ldap_cache.h,0,0,113,1,1,0,0,0,0,0,0,0,0
server/provider.c,0,0,110,0,0,0,0,0,0,0,0,0,0
include/mpm_common.h,0,0,108,2,1,0,0,1,0,0,0,0,1
modules/examples/mod_case_filter_in.c,0,0,106,3,0,0,0,0,0,3,0,0,0
server/connection.c,0,0,105,1,0,0,0,0,0,0,1,0,0
modules/loggers/mod_logio.c,0,0,105,1,0,0,0,1,0,0,0,0,0
modules/ssl/ssl_engine_rand.c,0,0,104,0,0,0,0,0,0,0,0,0,0
modules/proxy/balancers/mod_lbmethod_bytraffic.c,0,0,104,0,0,0,0,0,0,0,0,0,0
modules/http/chunk_filter.c,0,0,103,1,0,0,0,0,1,0,0,0,0
os/win32/util_win32.c,0,0,103,1,0,0,0,0,0,1,0,0,0
modules/proxy/balancers/mod_lbmethod_bybusyness.c,0,0,103,0,0,0,0,0,0,0,0,0,0
modules/proxy/balancers/mod_lbmethod_byrequests.c,0,0,99,0,0,0,0,0,0,0,0,0,0
include/ap_expr.h,0,0,97,0,0,0,0,0,0,0,0,0,0
ap.d,0,0,97,0,0,0,0,0,0,0,0,0,0
include/http_request.h,0,0,97,1,0,0,0,1,0,0,0,0,0
modules/aaa/mod_allowmethods.c,0,0,96,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_cache.h,0,0,95,8,2,0,0,0,0,6,0,0,0
server/mpm/config.m4,0,0,94,0,0,0,0,0,0,0,0,0,0
modules/proxy/ajp_utils.c,0,0,94,0,0,0,0,0,0,0,0,0,0
build/rpm/httpd.init,0,0,93,1,0,0,0,0,0,0,1,0,0
modules/lua/mod_lua.h,0,0,93,0,0,0,0,0,0,0,0,0,0
include/ap_config.h,0,0,91,3,0,0,0,0,0,3,0,0,0
modules/dav/main/liveprop.c,0,0,91,0,0,0,0,0,0,0,0,0,0
modules/examples/mod_case_filter.c,0,0,91,0,0,0,0,0,0,0,0,0,0
os/netware/modules.c,0,0,91,0,0,0,0,0,0,0,0,0,0
modules/proxy/examples/mod_lbmethod_rr.c,0,0,90,0,0,0,0,0,0,0,0,0,0
modules/lua/test/test.lua,0,0,89,0,0,0,0,0,0,0,0,0,0
modules/generators/mod_asis.c,0,0,88,1,0,0,0,0,0,1,0,0,0
server/util_xml.c,0,0,88,0,0,0,0,0,0,0,0,0,0
include/util_mutex.h,0,0,87,1,0,0,0,0,0,1,0,0,0
server/gen_test_char.c,0,0,86,1,0,0,0,1,0,0,0,0,0
modules/generators/mod_suexec.c,0,0,86,0,0,0,0,0,0,0,0,0,0
modules/lua/test/htdocs/test.lua,0,0,85,0,0,0,0,0,0,0,0,0,0
build/make_nw_export.awk,0,0,83,0,0,0,0,0,0,0,0,0,0
modules/aaa/mod_authz_user.c,0,0,82,0,0,0,0,0,0,0,0,0,0
server/mpm/config2.m4,0,0,81,0,0,0,0,0,0,0,0,0,0
server/util_ebcdic.c,0,0,81,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_engine_dh.c,0,0,80,0,0,0,0,0,0,0,0,0,0
server/util_expr_private.h,0,0,79,0,0,0,0,0,0,0,0,0,0
modules/core/mod_watchdog.h,0,0,78,2,0,0,0,2,0,0,0,0,0
support/win32/ApacheMonitor.rc,0,0,77,0,0,0,0,0,0,0,0,0,0
os/netware/util_nw.c,0,0,76,0,0,0,0,0,0,0,0,0,0
modules/session/mod_session.h,0,0,75,0,0,0,0,0,0,0,0,0,0
modules/proxy/ajp_link.c,0,0,74,0,0,0,0,0,0,0,0,0,0
server/mpm/event/pod.c,0,0,73,0,0,0,0,0,0,0,0,0,0
build/install.sh,0,0,73,0,0,0,0,0,0,0,0,0,0
server/mpm/worker/pod.c,0,0,73,0,0,0,0,0,0,0,0,0,0
os/bs2000/os.c,0,0,72,0,0,0,0,0,0,0,0,0,0
modules/generators/config5.m4,0,0,72,2,1,1,0,0,0,0,0,0,0
modules/filters/regexp.h,0,0,71,0,0,0,0,0,0,0,0,0,0
modules/proxy/ajp_header.h,0,0,70,0,0,0,0,0,0,0,0,0,0
include/ap_mpm.h,0,0,69,2,0,0,0,2,0,0,0,0,0
modules/dav/fs/mod_dav_fs.c,0,0,68,0,0,0,0,0,0,0,0,0,0
server/util_md5.c,0,0,68,0,0,0,0,0,0,0,0,0,0
include/mod_auth.h,0,0,68,1,0,0,0,0,0,1,0,0,0
server/mpm/event/fdqueue.h,0,0,68,0,0,0,0,0,0,0,0,0,0
os/unix/unixd.h,0,0,67,2,1,0,1,0,0,0,0,0,0
os/win32/os.h,0,0,67,2,1,0,0,0,0,0,1,0,0
support/list_hooks.pl,0,0,67,0,0,0,0,0,0,0,0,0,0
build/build-modules-c.awk,0,0,67,0,0,0,0,0,0,0,0,0,0
include/ap_regkey.h,0,0,66,1,0,0,0,1,0,0,0,0,0
build/win32/httpd.rc,0,0,66,0,0,0,0,0,0,0,0,0,0
modules/ssl/ssl_engine_mutex.c,0,0,65,0,0,0,0,0,0,0,0,0,0
modules/dav/lock/mod_dav_lock.c,0,0,64,0,0,0,0,0,0,0,0,0,0
include/ap_regex.h,0,0,62,2,1,0,0,1,0,0,0,0,0
build/instdso.sh,0,0,62,2,0,0,0,0,1,1,0,0,0
test/test-writev.c,0,0,60,0,0,0,0,0,0,0,0,0,0
server/eor_bucket.c,0,0,60,0,0,0,0,0,0,0,0,0,0
build/fastgen.sh,0,0,60,0,0,0,0,0,0,0,0,0,0
build/pkg/buildpkg.sh,0,0,60,0,0,0,0,0,0,0,0,0,0
modules/proxy/.indent.pro,0,0,58,0,0,0,0,0,0,0,0,0,0
modules/config5.m4,0,0,57,1,0,0,0,0,0,1,0,0,0
modules/database/mod_dbd.h,0,0,57,1,1,0,0,0,0,0,0,0,0
include/ap_socache.h,0,0,57,0,0,0,0,0,0,0,0,0,0
support/win32/ApacheMonitor.h,0,0,56,0,0,0,0,0,0,0,0,0,0
modules/lua/lua_apr.c,0,0,56,0,0,0,0,0,0,0,0,0,0
modules/test/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
server/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/experimental/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/aaa/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/http/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
os/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/loggers/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
include/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/filters/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/echo/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
support/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
build/rpm/htcacheclean.init,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/proxy/fcgi_protocol.h,0,0,54,0,0,0,0,0,0,0,0,0,0
test/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/generators/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
server/util_expr_parse.h,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/metadata/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/cache/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/mappers/.indent.pro,0,0,54,0,0,0,0,0,0,0,0,0,0
modules/cache/mod_cache_disk.h,0,0,53,0,0,0,0,0,0,0,0,0,0
support/checkgid.c,0,0,52,0,0,0,0,0,0,0,0,0,0
modules/proxy/config.m4,0,0,52,0,0,0,0,0,0,0,0,0,0
build/make_var_export.awk,0,0,51,0,0,0,0,0,0,0,0,0,0
modules/session/config.m4,0,0,51,0,0,0,0,0,0,0,0,0,0
include/util_script.h,0,0,50,1,0,0,0,1,0,0,0,0,0
server/error_bucket.c,0,0,49,0,0,0,0,0,0,0,0,0,0
modules/arch/netware/libprews.c,0,0,48,0,0,0,0,0,0,0,0,0,0
modules/lua/lua_vmprep.h,0,0,48,0,0,0,0,0,0,0,0,0,0
modules/aaa/config.m4,0,0,47,0,0,0,0,0,0,0,0,0,0
build/mkdep.perl,0,0,47,0,0,0,0,0,0,0,0,0,0
include/ap_listen.h,0,0,46,1,0,0,0,1,0,0,0,0,0
server/mpm/winnt/mpm_winnt.h,0,0,45,0,0,0,0,0,0,0,0,0,0
include/ap_slotmem.h,0,0,45,1,0,0,0,1,0,0,0,0,0
modules/core/config.m4,0,0,44,0,0,0,0,0,0,0,0,0,0
server/mpm/worker/fdqueue.h,0,0,44,0,0,0,0,0,0,0,0,0,0
